X,Y,OBJECTID,MIN_ID,Name,MAR_Name,Company,NTS_250K,Long_NAD83,Lat_NAD83,LSD,Section_,Township,Range,Meridian,Location,Well,Depth_m,Comm_1,Comm_2,Other_Comm,Occ_Type,Exposure,Media_Type,Highlights,Hghlt_Comm,Hghlt_Grad,Hghlt_Unit,Ore_Min,Gangue_Min,Morpho,Host_Rock,Strat_Age,Strat_Unit,Structure,Intrusion,Min_Host,Ref_AGS,Ref_MAR,Ref_Other,AE_MAR_WWW
-110.637975999834509,53.850632998857812,11,73E-M-08, , , ,73E,-110.637976,53.850633,6,23,56,5,4,About 5.6 km South of Mitchell Lake and about 17 km ESE of the town of Elk Point (NTS 75E/15)., , ,Placer gold,Platinum, ,Mineral occurrence,Surface,Alluvial sand and gravel,9.104 mg/cu yd Au,Au,0.0073,g/t,"Gold, Platinum", , ,Alluvial sand and gravel,Quaternary, , , ,Placer,"Olson et al. 1994 (OFR 1994-8), Edwards 1990 (OFR 1990-09)", , , 
-110.428650000102152,53.786787999069666,12,73E-M-09, , , ,73E,-110.42865,53.786788,16,30,55,3,4,Along the North Saskatchewan River about 1.5 km upstream from the confluence of the Vermillion and North Saskatchewan River (NTS 73E/9)., , ,Placer gold,Platinum, ,Mineral occurrence,Surface,Alluvial sand and gravel,93.06 mg/cu yd Au,Au,0.057,g/t,"Gold, Platinum", , ,Alluvial sand and gravel,Quaternary, , , ,Placer,"Olson et al. 1994 (OFR 1994-8), Halferdahl 1965 (OFR 1990-09)", , , 
-110.306018000056866,53.742894999315247,13,73E-M-10, , , ,73E,-110.306018,53.742895,16,12,55,3,4,About 1.0 km SE of the town of Heinsburg along the North Saskatchewan River (NTS 73 73E/9)., , ,Placer gold,Platinum, ,Mineral occurrence,Surface,Alluvial sand and gravel,70.9 mg/cu yd Au,Au,0.075,g/t,"Gold, Platinum", , ,Alluvial sand and gravel,Quaternary, , , ,Placer,"Olson et al. 1994 (OFR 1994-8), Halferdahl 1965 (OFR 1990-09)", , , 
-111.657391999596314,55.129943998948107,14,73M-M-1001, , , ,73M,-111.657392,55.129944,2,8,71,11,4, ,PAM AM ARCO A-1 PHILOM No. 7-8-71-11W4,588.8,Zinc, , ,Mineral occurrence,Subsurface,Bedrock,1690 ppm Zn at 588.8 m depth,Zn,0.169,%,Sphalerite,Pyrite, , ,Upper Devonian,Moberly Member, , , ,"Eccles 2000 (GEO-2000-02), Turner and PcPhee 1994 (OFR 1994-18)", , , 
-111.24501000006623,56.680440999061197,15,74D-M-01, , , ,74D,-111.24501,56.680441,14,32,88,8,4,About 6.4 km SE of Fort McMurray along the bank of the Clearwater River just north of Draper., , ,Copper, , ,Mineral occurrence,Surface,Bedrock, ,Cu,0, ,"Enargite, Malachite",Calcite, ,Carbonate,Devonian, , , ,Carbonate-hosted,"Eccles 2000 (GEO-2000-02), Olson et al. 1994 (OFR 1994-8)", ,"La Casse, L.J. and Roebuck J. (1978): Minerals of Alberta, Hallamshire Publishers, Edmonton.", 
-111.157293999656815,56.682907998964161,16,74D-M-02, , , ,74D,-111.157294,56.682908,2,2,89,8,4,"M2 is found upstream from M1, which is 6.4 km SE of Fort McMurray along the Clearwater River.", , ,Copper, , ,Mineral occurrence,Surface,Bedrock, ,Cu,0, ,Enargite,Calcite, ,Carbonate,Devonian, , , ,Carbonate-hosted,"Eccles 2000 (GEO-2000-02), Olson et al. 1994 (OFR 1994-8)", ,"La Casse, L.J. and Roebuck J. (1978): Minerals of Alberta, Hallamshire Publishers, Edmonton.", 
-110.832514999659949,56.678460999039849,17,74D-M-03, , , ,74D,-110.832515,56.678461,9,35,88,6,4,"M3 is upstream of M1, which is about 6.4 km SE of Fort McMurray along the west bank of the Clearwater River.", , ,Copper, , ,Mineral occurrence,Surface,Bedrock, ,Cu,0, ,Enargite,Calcite, ,Carbonate,Devonian, , , ,Carbonate-hosted,"Eccles 2000 (GEO-2000-02), Olson et al. 1994 (OFR 1994-8)", ,"La Casse, L.J. and Roebuck J. (1978): Minerals of Alberta, Hallamshire Publishers, Edmonton.", 
-110.048003000209832,56.696621999165522,18,74D-M-04, , , ,74D,-110.048003,56.696622,14,2,89,1,4,At Whitemud Falls along the Clearwater river about 80 km east of Fort McMurray and a few km west of the Saskatchewan border., , ,Lead, , ,Mineral occurrence,Surface,Bedrock, ,Pb,0, ,Galena,Calcite,Dolomite with vugs,Dolomite,Middle Devonian,Keg River Formation, , ,Carbonate-hosted,"Eccles 2000 (GEO-2000-02), Olson et al. 1994 (OFR 1994-8)", ,"Carrigy, M.A.(1959): Geology of the McMurray Formation Memoir 1 ARC (Part III).", 
-111.860999999763052,56.48599999914682,19,74D-M-1001,Crooked Rapids,Crooked Rapids,Athabasca Minerals Inc.,74D,-111.861,56.486,7,17,86,12,4,"40 km SW of Fort McMurray (location approximate).
", , ,Iron, , ,Geophysical anomaly, ,Bedrock, ,Fe,0, , , , , , , , , , , ,MAR_20120012, ,http://www.energy.gov.ab.ca/minerals/3441.asp
-111.391109000197332,56.729691999034188,20,74D-M-1002, , , ,74D,-111.391109,56.729692,1,20,89,9,4, ,Bear Rodeo No1 8-20-89-9W4,226.47,Zinc,Copper, ,Mineral occurrence,Subsurface,Bedrock,"2816 ppm Zn at depth 226.47 m (sample 93-10-27-14) and 328 ppm Cu, 37 ppm Au at depth 336.19 m (sample 93-10-28-19)",Zn,0.2916,%,Sphalerite, , , ,Middle Devonian,Prairie Evaporite Formation, , , ,"Eccles 2000 (GEO-2000-02), Turner and PcPhee 1994 (OFR 1994-18)", , , 
-111.673862000374569,57.304449998983607,21,74E-M-1001, ,North East Alberta, ,74E,-111.673862,57.30445,11,2,96,11,4,Near Athabasca River north of Fort Mackay., , ,Gold, , ,Mineral occurrence,Subsurface,Bedrock drillhole,"1.097 g/t Au, 7.5 g/t Ag, 2677 ppm As",Au,1.097,g/t,Gold, ,Granite with quartz-veins, , , , , ,Intrusion-hosted, ,MAR_19930001, ,http://www.energy.gov.ab.ca/minerals/3441.asp
-111.662221000305635,57.302653999098347,22,74E-M-1002, , , ,74E,-111.662221,57.302654,8,2,96,11,4,On the east side of the Athabasca River about 15 km north of Fort MacKay., , ,Gold, , ,Mineral occurrence,Subsurface,Bedrock drillhole,21.6 g/t Au,Au,21.6,g/t,Gold, , , , , , , , ,Allan 1920 (REP 01), , , 
-110.812775000093467,57.518815999107176,23,74E-M-1003,Firebag River drilling anomaly, , ,74E,-110.812775,57.518816,5,19,98,5,4, , , ,Gold, , ,Mineral occurrence,Subsurface,Bedrock,"Results from 23 core samples yielded up to 837 ppb Au (oil sands sample), 211 ppm Zn, 85 ppm Ni, 553 ppm Cr. Eight samples yielded Au > 100 ppb, four > 500 ppb.",Au,0.837,g/t,Pyrite,Quartz nodules, , , , , , , ,"Eccles 2000 (GEO-2000-02), Dufresne et al. 1994 (OFR 1994-09)", , , 
-111.60660100010729,57.197866999136977,24,74E-M-1004,Bradley property, , ,74E,-111.606601,57.197867,6,31,94,10,4, , , ,Gold, , ,Mineral occurrence,Surface,Bedrock,"Fire assay 45.1 g/t Au, 180.3 g/t Ag and 2.5 g/t Pt",Au,45.1,g/t,Gold, , ,Limestone,Upper Devonian,Waterways Formation, , ,Carbonate-hosted,Eccles 2000 (GEO-2000-02), ,"Focal Resources (1993): News releases April 15, April 21, May 6, June 7, June 28, Sept 15.", 
-111.92918900014304,57.176359999024811,25,74E-M-1005,Beaver River Sandstone, , ,74E,-111.929189,57.17636,14,19,94,12,4, , , ,Gold, , ,Mineral occurrence,Surface and subsurface,Bedrock drillhole,"Sample up to 19.38 g/t Au and 18.97 g/t Ag, two drill holes intersected disseminated sulphides, sulphide pods, sulphide filled fractures in collapse breccia zones.",Au,19.38,g/t,Gold, , ,Sandstone,Upper Devonian,Waterways Formation, , , ,Eccles 2000 (GEO-2000-02), ,"Franklin, C.H. (1993, 1994): Press releases Oct 27, 1993 and Feb 10, 1994 by Tintina Mines Limited and NSR Resources.", 
-111.62174700003942,57.31520499931846,26,74E-M-1006,Aurora, , ,74E,-111.621747,57.315205,6,7,96,10,4, ,11-7-AE-9610W4, ,Platinum,Gold, ,Mineral occurrence,Subsurface,Bedrock,"Fire assayed 2.2 to 4.9 g/t Pt, 0.2 g/t Au",Pt,4.9,g/t, , , , , , , , , ,Eccles 2000 (GEO-2000-02), , , 
-111.972406999665992,57.221389998949903,27,74E-M-1007,Ells River,Northern/Western, ,74E,-111.972407,57.22139,3,12,95,13,4, , , ,Gold, , ,Mineral occurrence,Surface,Stream sediment,"HMC, thirty-one grains of Au up to 0.22 by 0.3 mm",Au,0, ,Gold, , , , , , , , ,Eccles 2000 (GEO-2000-02),MAR_19960005, ,http://www.energy.gov.ab.ca/minerals/3441.asp
-111.829333999722294,57.738676999307408,28,74E-M-1008,Buckton - Gos 1,Buckton, ,74E,-111.829334,57.738677,7,22,120,1,6,Eastern flanks of the Birch Mountains., , ,Nickel,Copper,"Zinc, Vanadium, Cobalt, Gold, Silver, Platinum, Palladium",Mineral occurrence,Surface,Bedrock, ,Ni,0, ,Sulfides,"Pyrite, Marcasite", ,Carbonaceous shale,Upper Cretaceous,Second White Specks Formation, , ,Shale-hosted,Eccles 2000 (GEO-2000-02),"MAR_19960011, MAR_19980002", ,http://www.energy.gov.ab.ca/minerals/3441.asp
-111.869141999816605,57.720856998942196,29,74E-M-1009,Buckton - Gos Creek,Buckton, ,74E,-111.869142,57.720857,12,6,101,12,4,Eastern flanks of the Birch Mountains., , ,Nickel,Zinc,Gold,Geochemical anomaly,Surface,Stream ediment,Stream sediment,Ni,0, , , , ,Shale,Upper Cretaceous,Second White Specks Formation, , ,Shale-hosted,Eccles 2000 (GEO-2000-02),"MAR_19960011, MAR_19980002", ,http://www.energy.gov.ab.ca/minerals/3441.asp
-111.869141999816605,57.720856998942196,30,74E-M-1010,Buckton,Buckton property, ,74E,-111.869142,57.720857,12,6,101,12,4,Eastern flanks of the Birch Mountains., , ,Nickel,Copper, ,Geochemical anomaly,Surface,Soil, ,Ni,0, , , , ,Shale,Upper Cretaceous,Second White Specks Formation,Fault zone, ,Shale-hosted,Eccles 2000 (GEO-2000-02),MAR_19980002, ,http://www.energy.gov.ab.ca/minerals/3441.asp
-111.957274999977571,57.504798999324073,31,74E-M-1011,Pierre River,Asphalt property, ,74E,-111.957275,57.504799,9,13,98,13,4,Pierre River 93 km NW of Fort McMurray., , ,Gold,Copper,"Nickel, Zinc, Uranium",Mineral occurrence,Subsurface,Bedrock,"Sulphides, anomalous Ba and As, high concentration Cd, Ce, Cu, Ni, P, Se, U, Y",Au,11.6,g/t,Gold, , ,Bentonitic shale,Upper Cretaceous,Second White Specks Formation, , ,Shale-hosted,Eccles 2000 (GEO-2000-02),"MAR_19960013, MAR_19980002", ,http://www.energy.gov.ab.ca/minerals/3441.asp
-111.841764999811659,57.764629999134627,32,74E-M-1012,Buckton,SBH property,DNI Metals Inc.,74E,-111.841765,57.76463,8,14,101,12,4,Eastern flanks of the Birch Mountains., , ,Zinc,Nickel,"REE, Copper, Cobalt, Uranium,  Scandium oxide",Project with Resource Estimate,Subsurface,Bedrock drillhole,Discovered in 1997 by drilling,Ni,0, , , ,Stratabound,Organic-rich black shale,Upper Cretaceous,Second White Specks Formation, , , , ,"MAR_19960012, MAR_19960013, MAR_19980002, MAR_20100017, MAR_20120007","Eccles, D.R., Nicholls, S. and Dufresne, M.B. (2013): National Instrument 43-101 Technical Report, Consolidadted and updated inferred resource estimate for the Buckton Zone, SBH property, northeastern Alberta, 135 p, effective date 9 January 2013.",http://www.energy.gov.ab.ca/minerals/3441.asp
-111.031632000124532,57.879849999118356,33,74E-M-1013, ,Richardson,Athabasca Minerals Inc.,74E,-111.031632,57.87985,7,26,102,7,4,"130 km north-northeast of Fort McMurray, east of the Athabasca River and west of the Marguerite Wildlands, north of the Firebag River and south of Grayling Creek.", , ,Gold,REE, ,Mineral occurrence,Subsurface,Bedrock,"Assays of granite at 76, 77 and 80 m depth returned values of 40, 16 and 16 ppb Au",Au,0.04,g/t,Pyrite, , ,Granite,Precambrian, , , ,Intrusion-hosted, ,MAR_20130020, ,http://www.energy.gov.ab.ca/minerals/3441.asp
-111.585380000234167,57.104360999228724,34,74E-M-1014, , , ,74E,-111.58538,57.104361,13,29,93,10,4, ,Bear Vampire No.2 4-32-93-10W4,194.16,Gold, , ,Mineral occurrence,Subsurface,Bedrock,57 ppb Au at 194.16 m,Au,0.057,g/t,Gold, , , ,Middle Devonian,Keg River Formation, , , ,"Eccles 2000 (GEO-2000-02), Turner and PcPhee 1994 (OFR 1994-18)", , , 
-111.578619999854737,57.117109998922054,35,74E-M-26, ,Fort MacKay, ,74E,-111.57862,57.11711,14,32,93,10,4,Just south of the junction of the Athabasca and Muskeg Rivers.,"Well 86-R2, 14-32- 093-10 W4",241.4,Copper,Gold, ,Mineral occurrence,Subsurface,Bedrock,Gold grade is found 2.3 m below chalcopyrite and malachite zone,Au,2.16,g/t,"Gold, Chalcopyrite, Malachite","Pyrite, Magnesite","Disseminated, fractures (Au), vein (Cu)",Carbonate,Devonian,Keg River Formation,Fractured Zone (stockwork?), ,Carbonate-hosted,"Eccles 2000 (GEO-2000-02), Olson et al. 1994 (OFR 1994-8),",MAR_19860001, , 
-110.945648000091893,58.803782999357146,36,74L-M-01, , , ,74L,-110.945648,58.803783,15,9,113,6,4,Centered about 2300 m NW of Point Basse on north shore of Lake Athabasca along the SE edge of Hammer Lake., , ,Uranium,Thorium, ,Mineral occurrence,Surface,Bedrock,"0.153% U3O8, 0.06% ThO2",U,0.18,%,Autunite, ,Sooty or coat, , , ,Fractures and shears, , ,Olson et al. 1994 (OFR 1994-8), , , 
-110.990382999906501,58.973511999278564,37,74L-M-02, , , ,74L,-110.990383,58.973512,11,8,115,6,4,At the east end of John Barr Lake., , ,Copper, , ,Mineral occurrence,Surface,Bedrock,Malachite < 1%,Cu,0, ,Malachite,"Pyrite, Graphite",Disseminated, , , , , , ,Olson et al. 1994 (OFR 1994-8), , , 
-110.893157999838039,58.978512999396656,38,74L-M-03, , , ,74L,-110.893158,58.978513,16,11,115,6,4,About 800 m west of Loutit Lake along Midas Fault which strikes west from the center of the Lake., , ,Uranium, , ,Mineral occurrence,Surface,Bedrock,0.06% U3O8,U,0.07,%, , ,"Sooty or coat, discordant", , , , , , ,Olson et al. 1994 (OFR 1994-8), , , 
-110.840374999681188,58.970178999376245,39,74L-M-04, , , ,74L,-110.840375,58.970179,7,7,115,5,4,East of Loutit Lake about 100 m east of Sandy Cove which is an inlet along the central portion of the lake., , ,Uranium,Thorium, ,Mineral occurrence,Surface,Bedrock,"0.017% U3O8, 0.5% ThO2",U,0.02,%,Monazite (?), ,Massive, , , , , , ,Olson et al. 1994 (OFR 1994-8), , , 
-110.800374000141304,58.973790999302693,40,74L-M-05, ,Northeastern Alberta, ,74L,-110.800374,58.973791,12,9,115,5,4,About 2400 m east of Loutit Lake on the south side of Jane Lake., , ,Copper,Uranium?, ,Geochemical anomaly,Surface,Bedrock,"Chalcopyrite, Malachite < 1%",Cu,0, ,"Chalcopyrite, Malachite","Pyrite, Graphite",Disseminated,High-grade metasediments, , , , , ,Olson et al. 1994 (OFR 1994-8),MAR_19690045,Godfrey 1980b., 
-111.067042000403077,58.803780999028753,41,74L-M-06, , , ,74L,-111.067042,58.803781,14,11,113,7,4,Along the west shore of Fourth Lake about 700 m North of the SW corner.  Exact location is not certain., , ,Copper,Gold,"Silver, Nickel",Mineral occurrence,Surface,Bedrock,"0.01% Cu 18.59 m, 0.343 g/t Au",Cu,0.01,%,Chalcopyrite,"Pyrite, Pyrrhotite, Arsenopyrite", , , , , , , ,Olson et al. 1994 (OFR 1994-8), , , 
-110.659036999874061,58.180486999368874,42,74L-M-1001,"Dragon Lake, Maybelle, Maybelle River",Maybelle property,"Areva Resources Canada Inc. (AREVA), Japan-Canada Uranium (JCU), and Cameco Corp.",74L,-110.659037,58.180487,3,7,106,4,4,"Western edge of Athabasca basin about 65 km WSW of Cluff Lake, Saskatchewan.", , ,Uranium,Nickel,"Lead, Molybdenum, Cobalt",Prospect,Subsurface,Bedrock drillhole,"Maybelle River high-grade U intersections (17% U3O8, 2 m, DDH MR-34 and 21% U3O8, 5 m, DDH MR-39); 2002-2003 drilling: 21 % U3O8 over 5 m. In 2006, Areva reported intersections up to 54.5 U3O8.",U,25,%,"Uraninite, Coffinite, Pitchblende","Euhedral Quartz in veins, Tourmaline", , ,Paleoproterozoic,Fair Point Formation,"Maybelle River Shear Zone, mineralization above sandstone/basement unconformity", ,Shear zone,Mei et al. 2004 (ESR 2004-02),"MAR_19880002, MAR_19890005","Geological Survey of Canada, Bulletin 588, EXTECH IV Study, (2007); Madore, C. and Annesley, I.R. (2002): Petrographic study of Archean/Paleoproterozoic basement, Athabasca sandstone, and uranium mineralized samples: Maybelle River Project: Confidential",http://www.energy.gov.ab.ca/minerals/3441.asp
-110.701446999833237,58.298655999176852,43,74L-M-1002,Rea - North Zone,"Rea Uranium, Rea",Brazil Resources Inc.,74L,-110.701447,58.298656,1,23,107,5,4,"175 km NW of Fort McMurray, 30 km west of the Alberta-Saskatchewan border and 42 km south of Lake Athabasca. Accessible year-round by fixed wing float or ski equipped aircraft and helicopter from Fort McMurray or by a winter road that connects Fort McKay", , ,Uranium, , ,Geochemical anomaly,Surface, , , ,0, , , , , , , ,"Uncomformity intersected at depth of 259 m; another shear zone located west of Maybelle River Shear Zone", , , ,"MAR_19770003, MAR_19770004, MAR_19770009, MAR_19780005, MAR_19780011, MAR_20080006, MAR_20120001","Annesley, I. and Eccles, R. (2014): Technical report on the Rea Property, northeastern Alberta, prepared fro Brazil Resources Inc., 85 p., effective date 12 Sept 2014.",http://www.energy.gov.ab.ca/minerals/3441.asp
-110.685344000374428,58.190835999168414,44,74L-M-1003,Rea - West Zone,"Rea Uranium, Rea",Brazil Resources Inc.,74L,-110.685344,58.190836,11,12,106,5,4,"175 km NW of Fort McMurray, 30 km west of the Alberta-Saskatchewan border and 42 km south of Lake Athabasca. Accessible year-round by fixed wing float or ski equipped aircraft and helicopter from Fort McMurray or by a winter road that connects Fort McKay", , ,Uranium, , ,Geophysical anomaly, , , , ,0, , , , , , , , , , , , ,"Annesley, I. and Eccles, R. (2014): Technical report on the Rea Property, northeastern Alberta, prepared fro Brazil Resources Inc., 85 p., effective date 12 Sept 2014.", 
-111.170430000276113,58.262963999047095,45,74L-M-1004, ,Richardson River,Dahrouge,74L,-111.17043,58.262964,12,6,107,7,4, , , ,Uranium, , ,Geophysical anomaly, , , , ,0, , , , , ,Paleoproterozoic,Lazenby Lake Formation,Unconformity related, , , ,MAR_20140006, , 
-111.170732000399894,58.325834999326055,46,74L-M-1005, ,Richardson River,Dahrouge,74L,-111.170732,58.325835,13,30,107,7,4, , , ,Uranium, , ,Geophysical anomaly, , , , ,0, , , , , ,Paleoproterozoic,Lazenby Lake Formation,Unconformity related, , , ,MAR_20140006, , 
-110.83588900000187,58.370751999084078,47,74L-M-1006, ,Maybelle North,Dahrouge,74L,-110.835889,58.370752,4,18,108,5,4, , , ,Uranium, , ,Geophysical anomaly, , , , ,0, , , , , ,Paleoproterozoic,Lazenby Lake Formation,Unconformity related, , , ,MAR_20140007, , 
-110.622620999665003,58.491550999100895,48,74L-M-1007, ,Maybelle North,Dahrouge,74L,-110.622621,58.491551,8,29,109,4,4, , , ,Uranium, , ,Geophysical anomaly, , , , ,0, , , , , ,Paleoproterozoic,Lazenby Lake Formation,Unconformity related, , , ,MAR_20140007, , 
-110.828789999688738,58.424630999089644,49,74L-M-1008, ,Maybelle North,Dahrouge,74L,-110.82879,58.424631,14,31,108,5,4, , , ,Uranium, , ,Geophysical anomaly, , , , ,0, , , , , ,Paleoproterozoic,Lazenby Lake Formation,Unconformity related, , , ,MAR_20140007, , 
-110.949431999614333,58.011189999277917,50,74L-M-1009,Lake Athabasca North Shore,Lake Athabasca North Shore,Strathmore Minerals Corp.,74L,-110.949432,58.01119,11,9,113,6,4,"Northshore of Lake Athabasca, no significant landmarks. Use GPS coordinates.", , ,Uranium, , ,Geochemical anomaly,Surface,Bedrock outcrop,7460 ppm U,U,0.0746,%, , ,Breccia,Gneiss,Paleoproterozoic,Canadian Shield, , , , ,MAR_20070004, , 
-110.95019300022075,58.801217999241082,51,74L-M-1010,Lake Athabasca North Shore,Lake Athabasca North Shore,Strathmore Minerals Corp.,74L,-110.950193,58.801218,11,9,113,6,4,"Northshore of Lake Athabasca, no significant landmarks. Use GPS coordinates.", , ,Uranium, , ,Geochemical anomaly,Surface,Bedrock outcrop,4920 ppm U,U,0.0492,%,Autunite (unconfirmed), , ,Gneiss,Paleoproterozoic,Canadian Shield, , , , ,MAR_20070004, , 
-110.980382999977763,58.8182269990074,52,74L-M-1011,Lake Athabasca North Shore,Lake Athabasca North Shore,Strathmore Minerals Corp.,74L,-110.980383,58.818227,14,17,113,6,4,"Northshore of Lake Athabasca, no significant landmarks. Use GPS coordinates.", , ,Uranium, , ,Geochemical anomaly,Surface,Boulder Grab (fragment),7690 ppm U,U,0.0769,%, , , ,Gneiss,Paleoproterozoic,Canadian Shield, , , , ,MAR_20070004, , 
-110.947648000257317,58.802213999208007,53,74L-M-1012,Lake Athabasca North Shore,Lake Athabasca North Shore,Strathmore Minerals Corp.,74L,-110.947648,58.802214,15,9,113,6,4,"Northshore of Lake Athabasca, no significant landmarks. Use GPS coordinates.", , ,Uranium, , ,Geochemical anomaly,Surface,"Bedrock outcrop, 25284 is a chip sample",9530 ppm U,U,0.0953,%, , , ,"Quartz-biotite rich granite, sample 25284 is a quartzite",Paleoproterozoic,Canadian Shield, , , , ,MAR_20070004, , 
-110.947716999854279,58.380145999350454,54,74L-M-1013,Lake Athabasca North Shore,Lake Athabasca North Shore,Strathmore Minerals Corp.,74L,-110.947717,58.380146,10,9,113,6,4,"Northshore of Lake Athabasca, no significant landmarks. Use GPS coordinates.", , ,Uranium, , ,Geochemical anomaly,Surface,Outcrop and float at same location,2250 ppm U,U,0.225,%, , ,Pegmatite,Gneiss,Paleoproterozoic,Canadian Shield, , , , ,MAR_20070004, , 
